nct_id,Type,Criterion
NCT07211958,Inclusion,Participants must have newly diagnosed and previously untreated AML and be candidates for intensive chemotherapy.
NCT07211958,Inclusion,Presence of an NPM1 mutation.
NCT07211958,Inclusion,Eastern Cooperative Oncology Group performance status ≤2 (≤1 if >65 years old); Karnofsky or Lansky ≥40.
NCT07211958,Inclusion,Have a life expectancy of ≥3 months as judged by the Investigator.
NCT07211958,Inclusion,Negative serum pregnancy test.
NCT07211958,Inclusion,"Adequate liver, kidney, and cardiac function."
NCT07211958,Exclusion,Diagnosis of active acute promyelocytic leukemia.
NCT07211958,Exclusion,Active central nervous system disease.
NCT07211958,Exclusion,"Fridericia's corrected QT interval (QTcF) >450 milliseconds at screening, diagnosis or suspicion of Long QT syndrome or family history of Long QT syndrome."
NCT07211958,Exclusion,Any gastrointestinal (GI) issue of the upper GI tract likely to affect oral drug absorption or ingestion.
NCT07211958,Exclusion,Any concurrent malignancy requiring active therapy (except breast or prostate cancer stable on or responding to endocrine therapy).
NCT07211958,Exclusion,Inability to swallow oral medication.
NCT07211958,Exclusion,Pregnant or nursing females.
NCT07211958,Exclusion,Participant has known active or chronic hepatitis B or active hepatitis C (HCV) infection or human immunodeficiency virus (HIV)-positive with detectable viral load.
NCT06226571,Inclusion,"Established, pathologically confirmed diagnosis of AML by World Health Organization 2022 criteria."
NCT06226571,Inclusion,Previously untreated AML and eligible to receive intensive chemotherapy.
NCT06226571,Inclusion,"KMT2Ar, NPM1c, or NUP98r mutations identified by local laboratory prior to the first dose of SNDX-5613."
NCT06226571,Inclusion,Eastern Cooperative Oncology Group performance status ≤2 and ≤1 if >65 years old .
NCT06226571,Inclusion,"Adequate liver, kidney, and cardiac function."
NCT06226571,Exclusion,Diagnosis of acute promyelocytic leukemia.
NCT06226571,Exclusion,"Clinically active central nervous system leukemia (blasts detected in cerebrospinal fluid, radiographic or clinical signs and symptoms)."
NCT06226571,Exclusion,"Fridericia's corrected QT interval (QTcF) >450 milliseconds (average of triplicate), diagnosis or suspicion of Long QT syndrome or family history of Long QT syndrome."
NCT06226571,Exclusion,Any gastrointestinal issue of the upper gastrointestinal tract that might affect oral drug absorption or ingestion.
NCT06226571,Exclusion,Cirrhosis with a Child-Pugh score of B or C.
NCT06226571,Exclusion,"Any of the following within the 6 months prior to study entry: myocardial infarction, uncontrolled/unstable angina, congestive heart failure (New York Heart Association Classification Class ≥II), life-threatening, uncontrolled arrhythmia, cerebrovascular accident, or transient ischemic attack."
NCT06226571,Exclusion,"Hepatitis B, Hepatitis C, or HIV-positive with detectable viral load."
NCT06226571,Exclusion,"Documented active, uncontrolled infection."
NCT06226571,Exclusion,Uncontrolled disseminated intravascular coagulation.
NCT06226571,Exclusion,Lactating/breast feeding or pregnant.
NCT06226571,Exclusion,"Use of prohibited concomitant chemotherapy, radiation therapy, or immunotherapy."
NCT06226571,Exclusion,"Use of strong CYP3A4 inducers or inhibitors (except for Itraconazole, Ketoconazole, Posaconazole, or Voriconazole)."
NCT06511882,Inclusion,Adults 18 years of age or older at the time of obtaining informed consent.
NCT06511882,Inclusion,Diagnosed with Acute Myeloid Leukemia (AML) (non-M3) as defined by 2016 World Health Organization (WHO)
