nct_id,Type,Criterion
NCT07170150,Inclusion,"Evidence of AD pathological process, as confirmed on amyloid PET scan."
NCT07170150,Inclusion,"Probable AD dementia or MCI due to AD, also known as an Alzheimer's clinical syndrome clinical Stage 3 or Stage 4"
NCT07170150,Inclusion,Screening MMSE score ≥ 22 and CDR-GS of 0.5 or 1.0
NCT07170150,Inclusion,Participant- and/or Informant-reported history of cognitive decline with gradual onset and progression over the last 1 year before screening
NCT07170150,Inclusion,A Repeatable Battery for the Assessment of Neuropsychological Status Delayed Memory Index (RBANS DMI) score of 85 or order
NCT07170150,Exclusion,History or presence of clinically significant cerebrovascular disease
NCT07170150,Exclusion,"History of severe, clinically significant (persistent neurologic deficit or structural brain damage) central nervous system (CNS) trauma"
NCT07170150,Exclusion,History or presence of clinically significant intracranial mass
NCT07170150,Exclusion,MRI evidence of significant cerebral abnormalities or inability to tolerate MRI procedures or contraindication to MRI
NCT06976203,Inclusion,"Participants must have a confirmed diagnosis of Alzheimer's disease (AD), specifically at the mild (stage 4) or moderate (stage 5) dementia stages, as defined by the National Institute on Aging and Alzheimer's Association (NIA-AA) core clinical criteria. The diagnosis of AD pathology must be confirmed through the 2024 revised NIA-AA Workgroup criteria using a stepwise diagnostic approach."
NCT06976203,Inclusion,"Participants must have an Mini-Mental State Examination (MMSE) score ranging from 12 through 22, inclusive, at the time of screening."
NCT06976203,Inclusion,"Participants must have a designated caregiver who maintains adequate contact (around 10 hours per week or more) and is willing to attend all study visits. The caregiver must also be responsible for reporting on the participant's condition, overseeing medication compliance, and consenting to their involvement in both their own and the participant's study-related activities."
NCT06976203,Inclusion,"Participants on acetyl choline esterase inhibitors (AChEIs) and/or memantine, must have been on a stable dosage for at least 12 weeks prior to screening, and agree to maintain this stable dose for the study duration."
NCT06976203,Exclusion,"Participants must not have any primary psychiatric diagnoses such as major depression, schizoaffective disorder, or bipolar disorder, and those with severe psychiatric symptoms that could complicate the interpretation of treatment effects, impair cognitive assessment, or impact study completion."
NCT06976203,Exclusion,"Participants must not have a history of schizophrenia or other chronic psychosis, as well as those who have previously been exposed to KarXT or are currently undergoing treatment with disease-modifying anti-amyloid therapies for AD within the past 6 months prior to screening."
NCT06052163,Inclusion,Mild cognitive impairment or mild dementia due to Alzheimer's disease.
