nct_id,Type,Criterion
NCT06170970,Inclusion,"Male or female, 18 to 60 years of age, inclusive."
NCT06170970,Inclusion,Must meet McDonald 2017 diagnostic criteria for multiple sclerosis based on the PI review of the medical records
NCT06170970,Inclusion,Must complain from fatigue as one of their main symptoms and have a screening MFIS score of 33 or more
NCT06170970,Inclusion,A screening ESS score of 10 or more
NCT06170970,Inclusion,Must be ambulatory
NCT06170970,Inclusion,"Must have internet and email access and the ability to use a computer or tablet, or smartphone"
NCT06170970,Inclusion,Own an android smartphone or an iphone
NCT06170970,Inclusion,Consent to use a medically acceptable method of contraception for the duration of the study
NCT06170970,Exclusion,History of coronary artery disease or congestive heart failure
NCT06170970,Exclusion,Uncontrolled hypertension at Screening
NCT06170970,Exclusion,"A known history of uncontrolled diabetes (the last known hemoglobin A1c level above 7.0%), high BMI (>35), or hyperlipidemia (last known total cholesterol >240 mg/dl, or LDL cholesterol level >160 mg/dl)"
NCT06170970,Exclusion,Receiving drugs/treatments that increase blood pressure or heart rate
NCT06170970,Exclusion,A history of cerebrovascular disease or stroke
NCT06170970,Exclusion,"A medical or neurological disorder other than MS, that was associated with excessive sleepiness."
NCT06170970,Exclusion,A history of phenylketonuria or hypersensitivity to the phenylalanine-derived product
NCT06170970,Exclusion,A history of alcohol or drug abuse within the past two years
NCT06170970,Exclusion,"A history of psychosis, or bipolar disorder"
NCT06170970,Exclusion,A history of cardiac arrythmias
NCT06170970,Exclusion,Use within 14 days of a monoamine oxidase (MAO) inhibitor drug
NCT06170970,Exclusion,Pregnant or lactating
NCT06170970,Exclusion,A known history of moderate or severe kidney dysfunction
NCT06463743,Inclusion,age between 55 and 75 years old
NCT06463743,Inclusion,having a diagnosis of MS based on the latest McDonald criteria
NCT06463743,Inclusion,non-active disease course (no relapses and no MRI activity) in the last 2 years as determined by the MS provider and based on the 2020 revised clinical course criteria
NCT06463743,Inclusion,EDSS score <7.0
NCT06463743,Exclusion,inability to undergo MRI scans
NCT06463743,Exclusion,diabetes or uncontrolled cardiovascular disease
NCT07224373,Inclusion,Age ≥ 18-years-old to ≤ 75-years-old at the time of consent
NCT07224373,Inclusion,"Diagnosis of RMS according to the 2017 McDonald Criteria (Thompson et al 2018) or diagnosis of relapsing, active SPMS according to Lublin et al 2014."
NCT07224373,Inclusion,Participants should have an EDSS of ≤ 6.5 at screening.
NCT07224373,Inclusion,"Evidence of active disease(clinical relapses and MRI activities within 2 years prior to screening), or intolerance, while on a high efficacy disease-modifying therapy for ≥ 6 months."
NCT07224373,Exclusion,Any prior CAR-T or CAR-NK cell exposure.
NCT07224373,Exclusion,Underwent splenectomy within 12 months prior to signing the ICF.
NCT07224373,Exclusion,Received a solid organ transplant at any time or on an active transplant waiting list.
NCT07224373,Exclusion,Prior treatment with autologous hematopoietic stem cell transplantation or total lymphoid irradiation.
NCT07224373,Exclusion,Cardiac conditions or any other significant cardiac condition that would present undue risk to the participant in the investigator's opinion:
NCT07224373,Exclusion,"Any other central nervous system disease including epilepsy, convulsive seizures, organic encephalopathy syndrome, non-MS related paralysis, aphasia, stroke, severe brain injury, dementia, Parkinson's disease or associated movement disorder, psychosis, CNS vasculitis, or any other neurological disease that may impact the ability to evaluate neurotoxicity. History of a seizure disorder even if the seizure disorder is well controlled with anti-epileptics."
NCT07224373,Exclusion,Participant has significant psychiatric condition (active or history of).
NCT07224373,Exclusion,History of other immune-mediated disease that required continued systemic immunosuppression/systemic disease-modifying agents.
NCT07224373,Exclusion,Evidence of clinically significant bleeding or active bleeding diathesis within 90 days before screening
NCT07224373,Exclusion,History of malignancy or ongoing treatment for prior malignancy.
NCT07224373,Exclusion,Inborn error of immunity and/or primary immunodeficiency.
NCT07224373,Exclusion,Seropositive for HIV.
NCT07224373,Exclusion,"Active viral (any etiology, HBV, HCV) hepatitis are excluded."
NCT07224373,Exclusion,Major surgery within 4 weeks prior to apheresis or lymphodepletion or has surgery planned during the study or within 4 weeks after study treatment administration.
NCT07224373,Exclusion,"Pregnant, breastfeeding, or planning to become pregnant while enrolled in this study or within 1 year after receiving study treatment, whichever is longer."
NCT07074886,Inclusion,Diagnosis of RMS or PPMS according to the revised McDonald 2017 criteria (Thompson et al. 2018) or the most current McDonald criteria at the time of study start
NCT07074886,Inclusion,"Expanded Disability Status Scale (EDSS) score, 0-6.5, inclusive, at screening"
NCT07074886,Exclusion,Participants who have previously received anti-cluster of differentiation (CD)20s (including ocrelizumab) less than 2 years before screening
